# Coastline segments for fractal box-counting analysis
# Format: x1 y1 x2 y2
# Source: Natural Earth coastline data
# Number of segments: 2000
# Total length: 302.27 degrees
# Bounds: X=[-17.3458, 180.0000], Y=[-34.7566, 77.6411]
#
108.352051 76.719531 108.181641 76.737842
107.722168 76.522314 107.624219 76.510107
106.384668 76.589453 106.545508 76.586279
107.278906 76.990967 106.941602 77.034375
105.822168 76.997510 105.712012 77.001465
104.911914 77.174707 105.384570 77.237842
105.710254 77.525244 105.308984 77.549219
103.560742 77.631934 103.331250 77.641064
101.185742 77.028564 100.989941 76.990479
101.006250 76.615088 100.928027 76.556738
101.597754 76.439209 101.310742 76.478906
99.576270 76.471436 98.869434 76.509570
99.616797 76.240186 99.825391 76.135937
99.442187 75.803174 99.602344 75.852051
99.562695 76.109326 99.187305 76.177637
98.194629 76.166406 98.020020 76.133691
97.350684 76.033398 97.205469 76.018701
96.508594 76.005566 95.934766 75.926025
95.919922 76.113135 95.578711 76.137305
94.506738 76.107959 94.388281 76.102783
93.259277 76.098779 93.104883 76.025830
93.068652 75.912842 93.116309 75.944629
93.687012 75.921582 94.156348 75.959229
91.845410 75.723682 91.479492 75.649658
88.733105 75.369189 88.503711 75.290479
86.939063 75.068115 87.140723 75.072266
86.862891 74.717871 86.651465 74.682422
85.791016 74.645117 86.116113 74.628564
87.106152 74.403564 87.229688 74.363867
86.182910 74.423047 86.001367 74.316016
87.337500 73.846045 87.503223 73.832471
86.376270 73.568848 86.155078 73.534668
85.970801 73.347070 86.121680 73.306738
86.098145 73.272607 85.818164 73.326953
86.094141 73.578320 86.365918 73.619775
86.591406 73.894287 85.979297 73.856934
84.737891 73.762842 84.417383 73.722021
81.468848 73.640430 80.583203 73.568457
80.418945 73.289648 80.424512 73.231152
80.841602 72.949170 80.773730 72.860791
80.827051 72.488281 81.098145 72.389746
82.183594 72.237549 82.209277 72.211182
83.200293 71.874707 83.340430 71.827539
83.531055 71.514258 83.457617 71.467529
83.651270 70.672217 83.735938 70.546484
83.073828 70.276709 83.094141 70.221094
82.961035 70.088281 82.856543 70.104541
83.030176 70.580518 83.058398 70.694727
